institution,unitid,page_type,url,n_captures,n_post_captures,first_capture,last_capture,has_post,n_versions
James Madison University,232423,integrity,https://www.jmu.edu/honorcode/code.shtml,12,7,20210414081750,20240413084051,1,12
James Madison University,232423,integrity,https://www.jmu.edu/honorcode/test.shtml,9,4,20210414073246,20230928200732,1,8
Davidson College,198385,integrity,https://www.davidson.edu/about/distinctly-davidson/honor-code,28,12,20210227125551,20240303081953,1,20
Michigan State University,171100,ai,https://provost.msu.edu/news-and-updates/2023-generative-AI,0,0,,,0,0
Michigan State University,171100,ai,https://provost.msu.edu/news-and-updates/2023-student-AI-20230926,0,0,,,0,0
Michigan State University,171100,ai,https://provost.msu.edu/news-and-updates/2023-generative-ai-use-in-research-20231220,0,0,,,0,0
Michigan State University,171100,integrity,https://www.deanofstudents.msu.edu/student-conduct-0,4,0,20210112144927,20210518052646,0,2
Michigan State University,171100,integrity,https://www.deanofstudents.msu.edu/academic-integrity,5,0,20210112142040,20210901174856,0,2
Michigan State University,171100,integrity,https://www.deanofstudents.msu.edu/student-conduct/appeal-information,0,0,,,0,0
Temple University,216339,ai,https://teaching.temple.edu/faculty-guide-ai,0,0,,,0,0
Temple University,216339,ai,https://teaching.temple.edu/chat-gpt-syllabus-guidance,0,0,,,0,0
Temple University,216339,ai,https://teaching.temple.edu/teaching-technologies/faculty-guide-ai,6,6,20230929180254,20240423074807,1,6
Temple University,216339,integrity,https://studentconduct.temple.edu/,24,15,20210126123119,20241218171530,1,15
Temple University,216339,integrity,https://studentconduct.temple.edu/parent,2,2,20240603110620,20241223120439,1,2
Temple University,216339,integrity,https://studentconduct.temple.edu/advisor,2,2,20240606020318,20241223120507,1,2
University of Houston,225511,integrity,http://catalog.uh.edu/content.php?catoid=25&hl=%22Plagiarism%22&navoid=9055&retu=,1,0,20210412202241,20210412202241,0,1
University of Houston,225511,integrity,http://catalog.uh.edu/content.php?catoid=25&hl=%22Plagiarism%22&navoid=9055&returnto=search,1,0,20210412204724,20210412204724,0,1
Colorado State University,126818,ai,https://catalog.colostate.edu/general-catalog/colleges/natural-sciences/computer-science/computer-science-major-artificial-intelligence-machine-learning-concentration/,5,1,20210126183720,20231128231403,1,4
Colorado State University,126818,ai,https://catalog.colostate.edu/general-catalog/colleges/natural-sciences/computer-science/computer-science-major-artificial-intelligence-machine-learning-concentration/index.html,1,1,20241009003722,20241009003722,1,1
Colorado State University,126818,integrity,https://catalog.colostate.edu/general-catalog/university-wide-programs/honors/,6,2,20211125193253,20241008190250,1,3
Colorado State University,126818,integrity,https://catalog.colostate.edu/general-catalog/colleges/liberal-arts/music-theatre-dance/mm-choral-conducting-specialization/,5,2,20210227223842,20240720231324,1,4
Colorado State University,126818,integrity,https://catalog.colostate.edu/general-catalog/colleges/liberal-arts/music-theatre-dance/mm-instrumental-conducting-specialization/,6,3,20210301061711,20240914031421,1,5
Oregon State University,209542,ai,https://catalog.oregonstate.edu/courses/ai/,6,4,20210622144033,20240707203930,1,4
Oregon State University,209542,ai,https://catalog.oregonstate.edu/search/?P=AI%20531,0,0,,,0,0
Oregon State University,209542,ai,https://catalog.oregonstate.edu/ribbit/index.cgi?page=getcourse.rjs&code=AI%20531,0,0,,,0,0
Oregon State University,209542,integrity,https://catalog.oregonstate.edu/college-departments/honors/,17,10,20210127174254,20240723213917,1,12
Oregon State University,209542,integrity,https://catalog.oregonstate.edu/syllabi/commontext/conduct/,3,1,20210420014450,20231004104121,1,3
Oregon State University,209542,integrity,https://catalog.oregonstate.edu/archives/2018-2019/college-departments/honors/,1,1,20240723222749,20240723222749,1,1
California Polytechnic State University-San Luis Obispo,110422,ai,http://catalog.calpoly.edu/collegesandprograms/collegeofengineering/computersciencesoftwareengineering/bscomputerscience/artificial-intelligence-and-machine-learning-concentration/,21,7,20210414233404,20241226053645,1,6
California Polytechnic State University-San Luis Obispo,110422,ai,https://catalog.calpoly.edu/previouscatalogs/2021-2022/collegesandprograms/collegeofengineering/computersciencesoftwareengineering/bscomputerscience/artificial-intelligence-and-machine-learning-concentration/,1,1,20240606065245,20240606065245,1,1
California Polytechnic State University-San Luis Obispo,110422,integrity,http://www.catalog.calpoly.edu/academicsupportandcampuslife/academicservicesandprograms/universityhonorsprogram/,24,8,20210323035117,20240616130000,1,12
California Polytechnic State University-San Luis Obispo,110422,integrity,https://catalog.calpoly.edu/previouscatalogs/2019-2020/academicsupportandcampuslife/academicservicesandprograms/universityhonorsprogram/,1,0,20220308164704,20220308164704,0,1
California Polytechnic State University-San Luis Obispo,110422,integrity,https://catalog.calpoly.edu/previouscatalogs/2021-2022/academicsupportandcampuslife/academicservicesandprograms/universityhonorsprogram/,1,1,20240606064709,20240606064709,1,1
Towson University,164076,integrity,https://catalog.towson.edu/undergraduate/honors-college/,14,4,20210413081159,20240130025840,1,7
