unitid,year,pell_share
126784,2009,79.0
126818,2009,19.0
126827,2009,36.0
126854,2009,92.0
126863,2009,50.0
126872,2009,97.0
126915,2009,63.0
126924,2009,52.0
126942,2009,62.0
126951,2009,72.0
127024,2009,65.0
127060,2009,16.0
127158,2009,43.0
127185,2009,30.0
127200,2009,38.0
127219,2009,71.0
127228,2009,47.0
127316,2009,85.0
127389,2009,59.0
127556,2009,38.0
127565,2009,34.0
127617,2009,72.0
127653,2009,47.0
127680,2009,63.0
127699,2009,75.0
127714,2009,25.0
127732,2009,50.0
127741,2009,27.0
127778,2009,66.0
127787,2009,84.0
127820,2009,61.0
127839,2009,83.0
127884,2009,67.0
127909,2009,40.0
127918,2009,11.0
127945,2009,35.0
127954,2009,75.0
128106,2009,46.0
128151,2009,39.0
128179,2009,100.0
128188,2009,84.0
128258,2009,63.0
128337,2009,72.0
128391,2009,29.0
128425,2009,0.0
128498,2009,47.0
128540,2009,50.0
128577,2009,36.0
128586,2009,0.0
128674,2009,59.0
128683,2009,46.0
128726,2009,47.0
128744,2009,57.0
128762,2009,76.0
128771,2009,23.0
128896,2009,65.0
128902,2009,10.0
128957,2009,89.0
129002,2009,52.0
129020,2009,16.0
129154,2009,77.0
129181,2009,27.0
129215,2009,21.0
129242,2009,14.0
129349,2009,50.0
129367,2009,82.0
129482,2009,82.0
129525,2009,25.0
129534,2009,33.0
129543,2009,51.0
129640,2009,100.0
129686,2009,33.0
129695,2009,37.0
129729,2009,37.0
129756,2009,32.0
129774,2009,29.0
129808,2009,35.0
129923,2009,68.0
129932,2009,87.0
129941,2009,30.0
129969,2009,83.0
130004,2009,45.0
130040,2009,38.0
130110,2009,28.0
130129,2009,71.0
130174,2009,60.0
130183,2009,61.0
130217,2009,50.0
130226,2009,12.0
130253,2009,18.0
130314,2009,40.0
130396,2009,53.0
130448,2009,36.0
130493,2009,26.0
130509,2009,84.0
130590,2009,11.0
130606,2009,32.0
130697,2009,17.0
130776,2009,24.0
130794,2009,12.0
130873,2009,69.0
130891,2009,50.0
130907,2009,43.0
130916,2009,32.0
130934,2009,58.0
130943,2009,12.0
130989,2009,41.0
131061,2009,65.0
131098,2009,48.0
131113,2009,39.0
131159,2009,14.0
131283,2009,9.0
131308,2009,31.0
131399,2009,20.0
131450,2009,41.0
131469,2009,12.0
131496,2009,12.0
131520,2009,43.0
131566,2009,39.0
131742,2009,61.0
131803,2009,4.0
131830,2009,67.0
131876,2009,74.0
132268,2009,69.0
132338,2009,68.0
132374,2009,46.0
132408,2009,51.0
132471,2009,60.0
132602,2009,78.0
132657,2009,21.0
132666,2009,67.0
132675,2009,66.0
132693,2009,40.0
132709,2009,56.0
132806,2009,69.0
132842,2009,100.0
132851,2009,52.0
132879,2009,42.0
132903,2009,24.0
132976,2009,60.0
133021,2009,47.0
133085,2009,48.0
133155,2009,52.0
133386,2009,53.0
133465,2009,81.0
133492,2009,17.0
133508,2009,52.0
133526,2009,81.0
133553,2009,25.0
133650,2009,64.0
133669,2009,31.0
133702,2009,48.0
133711,2009,26.0
133809,2009,23.0
133845,2009,75.0
133854,2009,75.0
133863,2009,73.0
133872,2009,50.0
133881,2009,29.0
133951,2009,41.0
133960,2009,46.0
133979,2009,69.0
133997,2009,84.0
134024,2009,73.0
134079,2009,32.0
134097,2009,23.0
134112,2009,61.0
134121,2009,93.0
134130,2009,28.0
134149,2009,90.0
134228,2009,100.0
134237,2009,44.0
134291,2009,36.0
134307,2009,80.0
134343,2009,41.0
134422,2009,85.0
134495,2009,52.0
134510,2009,54.0
134529,2009,46.0
134574,2009,63.0
134608,2009,47.0
134680,2009,64.0
134714,2009,91.0
134811,2009,61.0
134875,2009,73.0
134909,2009,73.0
134945,2009,36.0
135063,2009,71.0
135081,2009,59.0
135124,2009,79.0
135142,2009,96.0
135160,2009,57.0
135179,2009,41.0
135188,2009,31.0
135267,2009,32.0
135276,2009,28.0
135294,2009,58.0
135337,2009,95.0
135364,2009,75.0
135391,2009,54.0
135407,2009,54.0
135416,2009,72.0
135434,2009,63.0
135522,2009,68.0
135647,2009,50.0
135717,2009,62.0
135726,2009,19.0
135735,2009,22.0
135771,2009,74.0
135939,2009,75.0
135957,2009,91.0
136011,2009,93.0
136048,2009,76.0
136066,2009,85.0
136075,2009,100.0
136109,2009,58.0
136145,2009,76.0
136172,2009,26.0
136206,2009,37.0
136215,2009,42.0
136233,2009,42.0
136251,2009,54.0
136288,2009,87.0
136303,2009,31.0
136330,2009,39.0
136358,2009,39.0
136400,2009,56.0
136473,2009,45.0
136491,2009,64.0
136516,2009,46.0
136659,2009,37.0
136738,2009,49.0
136747,2009,86.0
136765,2009,56.0
136774,2009,26.0
136783,2009,50.0
136826,2009,71.0
136950,2009,21.0
137023,2009,24.0
137032,2009,35.0
137078,2009,43.0
137087,2009,62.0
137096,2009,32.0
137120,2009,16.0
137148,2009,100.0
137209,2009,49.0
137245,2009,34.0
137272,2009,36.0
137281,2009,39.0
137315,2009,58.0
137351,2009,35.0
137476,2009,56.0
137537,2009,58.0
137546,2009,35.0
137564,2009,35.0
137591,2009,91.0
137713,2009,75.0
137759,2009,52.0
137777,2009,33.0
137801,2009,90.0
137810,2009,90.0
137847,2009,22.0
137856,2009,63.0
137865,2009,44.0
137892,2009,90.0
137953,2009,54.0
137962,2009,70.0
138132,2009,56.0
138187,2009,57.0
138275,2009,55.0
138284,2009,69.0
138293,2009,42.0
138309,2009,84.0
138354,2009,33.0
138372,2009,58.0
138479,2009,14.0
138488,2009,16.0
138497,2009,37.0
138558,2009,56.0
138594,2009,93.0
138600,2009,39.0
138655,2009,76.0
138664,2009,94.0
138682,2009,82.0
138691,2009,66.0
138716,2009,76.0
138761,2009,51.0
138789,2009,37.0
138813,2009,71.0
138822,2009,49.0
138840,2009,79.0
138868,2009,59.0
138901,2009,79.0
138938,2009,60.0
138947,2009,68.0
138956,2009,70.0
138983,2009,41.0
139010,2009,76.0
139074,2009,64.0
139092,2009,65.0
139144,2009,30.0
139153,2009,45.0
139199,2009,47.0
139205,2009,50.0
139214,2009,82.0
139250,2009,60.0
139278,2009,54.0
139287,2009,18.0
139311,2009,60.0
139357,2009,67.0
139366,2009,45.0
139384,2009,69.0
139393,2009,38.0
139463,2009,58.0
139506,2009,94.0
139533,2009,83.0
139579,2009,86.0
139621,2009,62.0
139630,2009,58.0
139658,2009,21.0
139700,2009,38.0
139719,2009,73.0
139755,2009,14.0
139764,2009,47.0
139773,2009,32.0
139861,2009,19.0
139904,2009,53.0
139931,2009,29.0
139940,2009,45.0
139959,2009,18.0
139968,2009,58.0
139986,2009,55.0
139995,2009,76.0
140003,2009,93.0
140012,2009,51.0
140076,2009,57.0
140085,2009,50.0
140164,2009,28.0
140234,2009,35.0
140243,2009,39.0
140252,2009,53.0
140304,2009,83.0
140322,2009,59.0
140331,2009,50.0
140340,2009,82.0
140447,2009,28.0
140483,2009,62.0
140553,2009,44.0
140599,2009,73.0
140669,2009,26.0
140678,2009,63.0
140696,2009,36.0
140720,2009,80.0
140818,2009,47.0
140827,2009,50.0
140872,2009,34.0
140942,2009,73.0
140951,2009,21.0
140960,2009,73.0
140988,2009,40.0
140997,2009,68.0
141006,2009,79.0
141015,2009,0.0
141060,2009,46.0
141097,2009,33.0
141158,2009,71.0
141167,2009,47.0
141185,2009,56.0
141237,2009,48.0
141255,2009,76.0
141264,2009,38.0
141307,2009,67.0
141325,2009,44.0
141334,2009,44.0
141361,2009,34.0
141468,2009,64.0
141486,2009,42.0
141565,2009,44.0
141574,2009,23.0
141608,2009,79.0
141644,2009,27.0
141680,2009,29.0
141796,2009,24.0
141802,2009,38.0
141811,2009,32.0
141839,2009,49.0
141848,2009,76.0
141945,2009,91.0
141981,2009,12.0
141990,2009,43.0
142054,2009,52.0
142090,2009,58.0
142115,2009,36.0
142179,2009,70.0
142276,2009,45.0
142285,2009,33.0
142294,2009,34.0
142328,2009,52.0
142337,2009,77.0
142407,2009,89.0
142416,2009,90.0
142443,2009,47.0
142461,2009,39.0
142489,2009,86.0
142522,2009,22.0
142559,2009,50.0
142869,2009,90.0
142878,2009,22.0
142887,2009,45.0
143048,2009,22.0
143075,2009,74.0
143084,2009,17.0
143118,2009,38.0
143181,2009,79.0
143215,2009,41.0
143279,2009,68.0
143288,2009,49.0
143358,2009,25.0
143376,2009,38.0
143464,2009,79.0
143473,2009,0.0
143482,2009,100.0
143491,2009,73.0
143516,2009,78.0
143534,2009,70.0
143543,2009,78.0
143552,2009,79.0
143613,2009,57.0
143695,2009,80.0
144005,2009,84.0
144050,2009,18.0
144157,2009,82.0
144166,2009,85.0
144175,2009,90.0
144184,2009,62.0
144193,2009,75.0
144209,2009,69.0
144218,2009,52.0
144281,2009,35.0
144351,2009,41.0
144467,2009,58.0
144485,2009,75.0
144564,2009,52.0
144573,2009,85.0
144616,2009,100.0
144740,2009,35.0
144759,2009,84.0
144795,2009,93.0
144865,2009,28.0
144883,2009,84.0
144892,2009,30.0
144944,2009,26.0
144962,2009,24.0
144971,2009,41.0
145099,2009,61.0
145239,2009,76.0
145309,2009,68.0
145354,2009,0.0
145372,2009,43.0
145406,2009,69.0
145424,2009,67.0
145433,2009,85.0
145460,2009,47.0
145497,2009,56.0
145521,2009,52.0
145600,2009,46.0
145619,2009,38.0
145637,2009,18.0
145646,2009,16.0
145682,2009,41.0
145691,2009,29.0
145707,2009,53.0
145725,2009,31.0
145770,2009,83.0
145813,2009,20.0
145831,2009,38.0
146010,2009,80.0
146205,2009,52.0
146278,2009,50.0
146296,2009,33.0
146339,2009,28.0
146348,2009,42.0
146366,2009,59.0
146393,2009,39.0
146418,2009,50.0
146427,2009,22.0
146454,2009,41.0
146472,2009,25.0
146481,2009,33.0
146506,2009,47.0
146603,2009,47.0
146612,2009,31.0
146621,2009,100.0
146667,2009,32.0
146676,2009,68.0
146685,2009,56.0
146700,2009,85.0
146719,2009,27.0
146755,2009,25.0
146791,2009,62.0
146807,2009,64.0
146816,2009,58.0
146825,2009,80.0
147004,2009,24.0
147013,2009,38.0
147165,2009,64.0
147244,2009,37.0
147341,2009,37.0
147369,2009,0.0
147378,2009,32.0
147396,2009,60.0
147411,2009,54.0
147439,2009,83.0
147536,2009,33.0
147642,2009,66.0
147660,2009,26.0
147679,2009,31.0
147703,2009,41.0
147749,2009,86.0
147767,2009,12.0
147776,2009,55.0
147800,2009,33.0
147819,2009,64.0
147828,2009,30.0
147916,2009,38.0
147970,2009,39.0
148007,2009,52.0
148016,2009,0.0
148098,2009,50.0
148131,2009,44.0
148140,2009,77.0
148177,2009,57.0
148256,2009,56.0
148292,2009,44.0
148335,2009,72.0
148380,2009,35.0
148399,2009,93.0
148405,2009,43.0
148487,2009,45.0
148496,2009,42.0
148584,2009,26.0
148627,2009,47.0
148654,2009,36.0
148672,2009,53.0
148821,2009,55.0
148849,2009,53.0
148876,2009,75.0
148937,2009,56.0
148955,2009,70.0
148991,2009,45.0
149019,2009,30.0
149204,2009,44.0
149222,2009,42.0
149231,2009,28.0
149310,2009,84.0
149329,2009,41.0
149365,2009,68.0
149499,2009,82.0
149505,2009,38.0
149514,2009,46.0
149532,2009,42.0
149550,2009,63.0
149639,2009,48.0
149727,2009,25.0
149772,2009,31.0
149781,2009,20.0
149842,2009,30.0
150048,2009,61.0
150066,2009,31.0
150075,2009,38.0
150136,2009,27.0
150145,2009,47.0
150163,2009,18.0
150172,2009,52.0
150251,2009,37.0
150303,2009,63.0
150400,2009,20.0
150428,2009,82.0
150437,2009,76.0
150455,2009,26.0
150534,2009,32.0
150604,2009,42.0
150640,2009,44.0
150668,2009,35.0
150677,2009,43.0
150695,2009,65.0
150710,2009,95.0
150756,2009,30.0
150765,2009,74.0
150774,2009,33.0
150853,2009,81.0
150941,2009,37.0
150978,2009,63.0
150987,2009,51.0
150996,2009,58.0
151005,2009,63.0
151014,2009,63.0
151023,2009,54.0
151032,2009,63.0
151041,2009,61.0
151050,2009,59.0
151069,2009,60.0
151078,2009,71.0
151087,2009,59.0
151096,2009,62.0
151102,2009,46.0
151111,2009,36.0
151157,2009,70.0
151166,2009,81.0
151184,2009,91.0
151193,2009,87.0
151209,2009,83.0
151236,2009,80.0
151245,2009,87.0
151263,2009,36.0
151290,2009,38.0
