unitid,adoption_year,cohort,n_years_pre,ever_required
440828,2021,covid,6,1
440916,,never,0,0
441104,,never,0,0
441131,,never,0,0
441229,,never,0,0
441238,,never,0,0
441609,,never,0,0
441636,,never,0,0
441690,,never,0,0
441900,,never,0,1
441937,,never,0,1
441982,2020,covid,11,1
442064,,never,0,0
442161,,never,0,0
442295,,never,0,0
442356,2022,post,13,1
442392,,never,0,0
442426,,never,0,1
442569,,never,0,0
442639,,never,0,0
442806,,never,0,0
442842,,never,0,0
442930,,never,0,0
442949,,never,0,0
443030,,never,0,0
443049,,never,0,1
443058,2022,post,13,1
443076,,never,0,0
443128,,never,0,0
443331,,never,0,1
443340,,never,0,1
443410,2020,covid,11,1
443562,,never,0,0
443599,2022,post,10,1
443702,,never,0,0
443711,,never,0,0
443766,,never,0,0
443784,,never,0,0
444088,,never,0,0
444103,,never,0,0
444130,,never,0,0
444255,,never,0,0
444325,,never,0,0
444398,,never,0,0
444413,,never,0,0
444699,,never,0,0
444778,,never,0,0
444787,,never,0,0
445027,,never,0,0
445054,,never,0,0
445133,,never,0,0
445188,,never,0,1
445203,,never,0,0
445267,2022,post,7,1
445300,,never,0,0
445692,2022,post,13,1
445708,2022,post,13,1
445735,,never,0,0
445869,,never,0,0
446002,,never,0,0
446039,,never,0,0
446048,2020,covid,11,1
446224,,never,0,0
446233,,never,0,1
446385,,never,0,0
446394,,never,0,0
446525,,never,0,0
446561,,never,0,0
446604,,never,0,0
446613,,never,0,0
446640,,never,0,0
446978,,never,0,0
447014,,never,0,0
447050,,never,0,0
447263,,never,0,0
447421,,never,0,0
447458,,never,0,0
447689,,never,0,0
447698,,never,0,0
447801,,never,0,0
447953,,never,0,1
448239,,never,0,0
448336,,never,0,0
448354,,never,0,0
448381,,never,0,0
448673,,never,0,1
448691,,never,0,0
449038,,never,0,0
449135,,never,0,0
449339,,never,0,0
449348,,never,0,0
449384,,never,0,0
449481,,never,0,0
449658,,never,0,0
449764,2020,covid,11,1
449834,,never,0,1
449870,,never,0,0
449889,,never,0,0
449898,,never,0,1
449922,,never,0,0
449931,,never,0,0
450298,,never,0,0
450304,,never,0,0
450377,,never,0,0
450571,,never,0,1
450933,,never,0,0
451079,,never,0,0
451103,,never,0,0
451370,,never,0,0
451398,,never,0,0
451404,,never,0,0
451510,,never,0,0
451556,,never,0,0
451741,,never,0,0
451750,,never,0,0
451820,,never,0,0
451866,,never,0,0
451927,,never,0,1
452948,,never,0,0
453163,,never,0,0
453215,,never,0,0
454184,2020,covid,11,1
454218,,never,0,0
454227,2022,post,13,1
454236,2022,post,13,1
454245,2022,post,13,1
454582,,never,0,0
454616,,never,0,1
454689,,never,0,0
454786,,never,0,0
454829,,never,0,0
454838,,never,0,0
454856,,never,0,1
455099,,never,0,0
455178,,never,0,0
455257,,never,0,0
455406,,never,0,0
455433,,never,0,0
455664,,never,0,0
455770,2017,pre_covid,8,1
455804,,never,0,0
455813,,never,0,0
455992,,never,0,0
456481,,never,0,0
456490,,never,0,0
456542,,never,0,0
456621,,never,0,0
456959,2021,covid,12,1
457086,,never,0,0
457129,2022,post,13,1
457226,,never,0,0
457271,,never,0,0
457299,,never,0,0
457402,,never,0,0
457484,,never,0,0
457527,,never,0,0
457688,,never,0,0
457697,,never,0,0
458113,,never,0,1
458210,,never,0,1
458229,,never,0,1
458496,,never,0,1
458575,,never,0,1
458885,,never,0,0
458919,,never,0,0
458955,,never,0,0
458964,,never,0,0
458973,,never,0,0
458982,,never,0,0
459204,,never,0,0
459213,,never,0,0
459259,,never,0,1
459268,,never,0,1
459417,2017,pre_covid,6,1
459727,,never,0,1
459736,,never,0,0
459745,,never,0,0
459824,,never,0,0
459842,,never,0,1
459851,,never,0,1
459949,2022,post,6,1
459994,,never,0,0
460349,,never,0,1
460376,,never,0,0
460738,,never,0,0
460871,2022,post,11,1
460899,,never,0,0
461023,,never,0,0
461032,,never,0,0
461120,,never,0,0
461139,,never,0,0
461148,,never,0,1
461263,,never,0,0
461281,,never,0,0
461485,,never,0,0
461528,,never,0,0
461643,,never,0,0
461759,2021,covid,1,1
461795,,never,0,0
461847,,never,0,0
461883,,never,0,0
462044,,never,0,0
462354,2021,covid,8,1
463056,,never,0,1
464226,2021,covid,3,1
465812,,never,0,0
466921,2022,post,11,1
466930,2022,post,11,1
469416,,never,0,0
474863,,never,0,0
474890,,never,0,0
475033,,never,0,0
475121,,never,0,1
475200,,never,0,0
475228,,never,0,0
475237,,never,0,0
475273,,never,0,0
475398,,never,0,0
475495,,never,0,0
475608,2018,pre_covid,5,1
475635,,never,0,0
475714,,never,0,0
475732,2022,post,10,1
475741,2022,post,10,1
475839,,never,0,0
476601,,never,0,0
476692,,never,0,0
476717,,never,0,0
476975,2019,pre_covid,3,1
477039,,never,0,1
478634,,never,0,0
480073,,never,0,1
480091,,never,0,0
480198,,never,0,0
480204,,never,0,0
480499,,never,0,1
480569,,never,0,0
480657,,never,0,1
480781,,never,0,0
480790,,never,0,0
480912,,never,0,0
480985,,never,0,0
481030,,never,0,0
481058,,never,0,0
481094,,never,0,0
481225,,never,0,1
481401,,never,0,0
481410,,never,0,0
481438,,never,0,0
481535,,never,0,0
481720,,never,0,1
482149,,never,0,1
482158,2021,covid,8,1
482228,,never,0,1
482325,,never,0,0
482413,2022,post,9,1
482422,2022,post,9,1
482431,2022,post,9,1
482440,2022,post,9,1
482459,2022,post,9,1
482468,2022,post,9,1
482477,2022,post,9,1
482486,,never,0,1
482538,2022,post,9,1
482547,2022,post,9,1
482556,2022,post,9,1
482565,2022,post,9,1
482574,2022,post,9,1
482608,2022,post,9,1
482617,2022,post,9,1
482635,2022,post,9,1
482653,2022,post,9,1
482680,2020,covid,7,1
482699,,never,0,0
482705,,never,0,0
482936,,never,0,1
483018,2017,pre_covid,4,1
483036,,never,0,0
483124,,never,0,1
483221,,never,0,0
483373,,never,0,0
483595,,never,0,0
483780,,never,0,0
483975,,never,0,0
484473,,never,0,1
484613,,never,0,0
484631,,never,0,0
484668,,never,0,0
484677,,never,0,0
484710,,never,0,0
484756,,never,0,0
484835,,never,0,0
484844,,never,0,0
484862,,never,0,0
484871,,never,0,0
484905,2021,covid,7,1
485111,,never,0,0
485263,,never,0,0
485272,,never,0,1
485403,,never,0,0
485519,,never,0,0
485537,,never,0,0
485546,,never,0,0
485698,2022,post,3,1
485768,,never,0,0
485908,,never,0,0
485999,,never,0,0
486017,,never,0,0
486026,,never,0,0
486053,,never,0,1
486080,,never,0,0
486196,,never,0,0
486239,,never,0,0
486257,,never,0,0
486284,,never,0,0
486354,,never,0,0
486433,,never,0,0
486460,,never,0,0
486488,,never,0,0
486840,,never,0,1
486901,2022,post,7,1
486938,2022,post,7,1
486947,2022,post,7,1
486956,2022,post,7,1
486965,,never,0,1
487010,,never,0,0
487153,,never,0,0
487296,,never,0,0
487375,,never,0,0
487524,2022,post,7,1
487603,,never,0,0
487649,,never,0,0
487746,,never,0,0
487861,,never,0,0
487995,,never,0,0
488004,,never,0,0
488031,,never,0,0
488068,,never,0,0
488101,,never,0,0
488305,,never,0,0
488314,,never,0,0
488350,,never,0,0
488387,,never,0,0
488448,,never,0,0
488527,,never,0,0
488554,,never,0,0
488572,,never,0,0
488679,,never,0,0
488776,,never,0,0
488785,,never,0,1
488800,,never,0,0
488846,,never,0,0
488907,,never,0,0
489335,,never,0,0
489344,2022,post,6,1
489353,2022,post,6,1
489779,,never,0,0
489858,,never,0,0
489937,,never,0,1
490045,,never,0,0
490054,,never,0,0
490063,,never,0,0
490081,,never,0,0
490106,,never,0,0
490124,,never,0,0
490133,,never,0,1
490230,,never,0,0
490276,,never,0,0
490319,,never,0,0
490328,,never,0,0
490373,,never,0,0
490504,,never,0,0
490513,,never,0,0
490601,,never,0,0
490753,,never,0,0
490805,2020,covid,3,1
490878,,never,0,0
491057,,never,0,0
491190,,never,0,0
491288,2021,covid,3,1
491297,2021,covid,3,1
491525,2022,post,4,1
491613,,never,0,0
491622,,never,0,0
491631,,never,0,0
491640,,never,0,0
491710,,never,0,0
491765,,never,0,0
491808,,never,0,0
491914,,never,0,0
492069,,never,0,0
492087,,never,0,0
492209,,never,0,0
492263,,never,0,0
492476,,never,0,0
492607,,never,0,0
492689,,never,0,0
492704,,never,0,0
492759,2022,post,4,1
492801,,never,0,0
492962,,never,0,0
493363,,never,0,0
493512,,never,0,0
493594,,never,0,0
493600,,never,0,0
493664,,never,0,0
493673,,never,0,0
493707,,never,0,0
493716,,never,0,0
493725,,never,0,0
493822,,never,0,0
493895,,never,0,0
493947,,never,0,0
494010,,never,0,0
494162,,never,0,0
494171,,never,0,0
494269,,never,0,0
494278,,never,0,0
494287,,never,0,0
494551,,never,0,0
494597,,never,0,0
494603,,never,0,0
494621,,never,0,0
494630,,never,0,0
494685,,never,0,1
494737,,never,0,0
494746,,never,0,0
494807,2021,covid,2,1
494940,,never,0,0
495031,,never,0,0
495059,,never,0,0
495192,,never,0,0
495280,,never,0,0
495314,,never,0,0
495420,,never,0,0
495439,,never,0,0
495448,,never,0,0
495457,,never,0,0
495767,2021,covid,1,1
495916,,never,0,1
496043,,never,0,0
496070,,never,0,0
496283,,never,0,0
496326,,never,0,0
496469,,never,0,0
496627,,never,0,0
496636,,never,0,0
496681,,never,0,0
496706,,never,0,0
496803,,never,0,0
496973,,never,0,0
496991,,never,0,0
497000,,never,0,0
497037,,never,0,0
497116,,never,0,0
497125,,never,0,0
497213,,never,0,1
497268,,never,0,0
