unitid,adoption_year,cohort,n_years_pre,ever_required
164216,2022,post,13,1
164270,2018,pre_covid,9,1
164368,,never,0,0
164447,2016,pre_covid,7,1
164465,2020,covid,11,1
164492,,never,0,1
164562,,never,0,0
164580,2020,covid,11,1
164614,2022,post,13,1
164632,2016,pre_covid,7,1
164641,2021,covid,11,1
164720,2019,pre_covid,10,1
164739,2021,covid,12,1
164748,,never,0,0
164872,,never,0,0
164915,,never,0,0
164924,2020,covid,11,1
164988,2021,covid,12,1
165015,2020,covid,11,1
165024,2018,pre_covid,9,1
165167,,never,0,0
165264,,never,0,1
165334,2020,covid,11,1
165495,,never,0,0
165529,2021,covid,12,1
165574,2017,pre_covid,8,1
165644,2020,covid,11,1
165662,2017,pre_covid,8,1
165671,2016,pre_covid,7,1
165699,2022,post,13,1
165802,2020,covid,11,1
165820,2018,pre_covid,9,1
165866,2019,pre_covid,10,1
165884,,never,0,0
165936,2021,covid,12,1
165945,,never,0,0
166018,,never,0,1
166027,2021,covid,12,1
166045,,never,0,0
166054,2018,pre_covid,1,1
166124,,never,0,0
166391,2018,pre_covid,9,1
166452,,never,0,1
166489,,never,0,1
166513,2021,covid,12,1
166629,2020,covid,11,1
166638,2017,pre_covid,8,1
166656,2021,covid,12,1
166665,,never,0,0
166674,,never,0,1
166683,,never,0,1
166692,2022,post,13,1
166708,,never,0,0
166717,,never,0,0
166850,,never,0,0
166869,,never,0,0
166911,,never,0,0
166939,,never,0,0
167057,,never,0,0
167093,,never,0,0
167215,,never,0,0
167260,2021,covid,11,1
167288,2020,covid,11,1
167358,2022,post,13,1
167394,2020,covid,11,1
167455,,never,0,1
167464,,never,0,0
167598,,never,0,1
167677,,never,0,1
167729,2016,pre_covid,7,1
167783,2021,covid,12,1
167792,,never,0,0
167835,,never,0,0
167899,2020,covid,11,1
167987,2021,covid,12,1
167996,,never,0,1
168005,2020,covid,11,1
168148,2021,covid,12,1
168218,2020,covid,11,1
168227,2019,pre_covid,10,1
168254,2016,pre_covid,7,1
168263,2020,covid,11,1
168281,2017,pre_covid,8,1
168342,2022,post,13,1
168421,,never,0,0
168430,2020,covid,11,1
168528,2021,covid,12,1
168546,2020,covid,11,1
168591,,never,0,1
168607,,never,0,0
168740,2021,covid,12,1
168786,2020,covid,11,1
168847,2022,post,4,1
169080,2021,covid,12,1
169099,,never,0,0
169220,,never,0,0
169248,2020,covid,11,1
169327,2019,pre_covid,7,1
169363,2020,covid,11,1
169424,,never,0,0
169442,,never,0,1
169479,2022,post,13,1
169716,2021,covid,12,1
169798,2021,covid,12,1
169910,2018,pre_covid,9,1
169983,2021,covid,12,1
170000,,never,0,1
170037,2021,covid,12,1
170082,2022,post,13,1
170091,,never,0,0
170240,,never,0,0
170286,2020,covid,5,1
170301,2021,covid,12,1
170444,,never,0,0
170532,2017,pre_covid,8,1
170639,,never,0,1
170675,,never,0,1
170806,2016,pre_covid,7,1
170967,2022,post,13,1
170976,2020,covid,11,1
171100,2021,covid,12,1
171128,2020,covid,11,1
171137,2021,covid,12,1
171146,2021,covid,12,1
171456,,never,0,1
171483,,never,0,0
171492,2022,post,13,1
171571,2020,covid,11,1
171599,2016,pre_covid,7,1
171881,2020,covid,11,1
172033,2022,post,13,1
172051,2020,covid,11,1
172200,,never,0,0
172264,2016,pre_covid,7,1
172334,2022,post,13,1
172440,,never,0,1
172477,,never,0,0
172608,,never,0,0
172644,2022,post,13,1
172699,2021,covid,12,1
172705,,never,0,0
172866,,never,0,0
173045,2019,pre_covid,10,1
173124,2022,post,13,1
173142,2022,post,13,1
173160,2021,covid,12,1
173258,2020,covid,11,1
173300,2020,covid,11,1
173328,2022,post,11,1
173452,2021,covid,12,1
173647,2021,covid,12,1
173665,2021,covid,12,1
173683,,never,0,0
173896,,never,0,0
173902,2021,covid,12,1
173920,2020,covid,11,1
173957,,never,0,0
174020,2022,post,13,1
174066,2021,covid,12,1
174075,,never,0,1
174127,2022,post,13,1
174154,,never,0,1
174233,2021,covid,12,1
174251,,never,0,1
174358,2020,covid,11,1
174437,2020,covid,11,1
174491,2022,post,13,1
174507,,never,0,0
174525,2020,covid,11,1
174747,2020,covid,11,1
174783,2021,covid,12,1
174792,2020,covid,11,1
174817,2022,post,13,1
174844,2020,covid,11,1
174862,,never,0,1
174899,2019,pre_covid,10,1
174914,2021,covid,12,1
175005,2020,covid,11,1
175014,,never,0,1
175078,2022,post,13,1
175139,,never,0,0
175227,2022,post,13,1
175272,2020,covid,11,1
175281,,never,0,0
175342,,never,0,1
175421,2020,covid,11,1
175430,,never,0,1
175616,,never,0,1
175856,2021,covid,12,1
175980,2021,covid,12,1
175999,,never,0,0
176017,2022,post,13,1
176035,,never,0,1
176044,2021,covid,12,1
176053,2021,covid,12,1
176080,2022,post,13,1
176318,2016,pre_covid,7,1
176336,,never,0,0
176372,,never,0,1
176406,2022,post,13,1
176451,,never,0,0
176479,,never,0,1
176600,,never,0,0
176628,2020,covid,11,1
176664,,never,0,0
176770,,never,0,1
176789,2021,covid,11,1
176910,,never,0,1
176947,2020,covid,11,1
176965,2022,post,13,1
177038,,never,0,1
177065,,never,0,1
177083,,never,0,1
177092,,never,0,0
177117,2020,covid,11,1
177126,,never,0,0
177144,2021,covid,12,1
177214,2020,covid,11,1
177278,,never,0,0
177339,,never,0,1
177418,2021,covid,12,1
177542,,never,0,1
177551,,never,0,0
177719,,never,0,0
177746,,never,0,1
177816,,never,0,1
177834,,never,0,0
177940,,never,0,0
177968,2019,pre_covid,10,1
177986,,never,0,0
178059,2018,pre_covid,9,1
178208,2019,pre_covid,10,1
178244,2021,covid,12,1
178341,2022,post,13,1
178369,,never,0,1
178387,,never,0,0
178396,2021,covid,12,1
178402,2020,covid,11,1
178411,2018,pre_covid,9,1
178420,2020,covid,11,1
178439,,never,0,0
178518,,never,0,0
178615,2021,covid,12,1
178624,2020,covid,11,1
178679,,never,0,1
178697,,never,0,1
178721,,never,0,1
178767,,never,0,0
178891,,never,0,0
178989,,never,0,1
179043,2020,covid,11,1
179159,2021,covid,12,1
179256,2020,covid,11,1
179265,2020,covid,11,1
179317,,never,0,0
179326,,never,0,1
179548,2020,covid,11,1
179557,2022,post,13,1
179566,2022,post,13,1
179812,,never,0,0
179867,2020,covid,11,1
179894,2020,covid,11,1
179946,2021,covid,12,1
179955,2020,covid,11,1
179964,2022,post,13,1
180106,2019,pre_covid,10,1
180179,,never,0,1
180203,,never,0,0
180258,2019,pre_covid,6,1
180416,2020,covid,11,1
180461,2021,covid,12,1
180489,2021,covid,12,1
180522,,never,0,1
180595,2021,covid,12,1
180647,,never,0,0
180692,,never,0,1
180717,2021,covid,1,1
180814,,never,0,0
180832,,never,0,1
180878,,never,0,1
180948,,never,0,0
180984,2020,covid,11,1
181002,2019,pre_covid,10,1
181020,,never,0,1
181127,2019,pre_covid,10,1
181145,,never,0,0
181215,2022,post,13,1
181297,,never,0,1
181330,2022,post,13,1
181394,,never,0,1
