corpus,family,protocol,dimension,group,metric,value,ci_lo,ci_hi,n
ellipse,handfeat,lopo,race_ethnicity,Black/African American,pearson_r,0.4491,,,515
ellipse,handfeat,lopo,race_ethnicity,Black/African American,rmse,0.5565,,,515
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander,mean_human,3.2298,,,792
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander,mean_machine,3.2141,,,792
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander,mean_gap,-0.0157,,,792
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander,smd,-0.0313,,,792
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander,qwk,0.2948,,,792
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander,exact,0.3434,,,792
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander,pearson_r,0.396,,,792
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander,rmse,0.5932,,,792
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino - White,raw_differential,0.0455,-0.0062,0.1026,4635
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino - White,conditional_differential,-0.0239,-0.0529,0.0043,4635
ellipse,handfeat,lopo,race_ethnicity,Black/African American - White,raw_differential,0.0095,-0.062,0.0728,515
ellipse,handfeat,lopo,race_ethnicity,Black/African American - White,conditional_differential,0.0317,-0.0019,0.0679,515
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander - White,raw_differential,0.0179,-0.0502,0.0802,792
ellipse,handfeat,lopo,race_ethnicity,Asian/Pacific Islander - White,conditional_differential,0.0685,0.036,0.0971,792
ellipse,tfidf,oof,SES,Not economically disadvantaged,mean_human,3.133,,,1974
ellipse,tfidf,oof,SES,Not economically disadvantaged,mean_machine,3.1217,,,1974
ellipse,tfidf,oof,SES,Not economically disadvantaged,mean_gap,-0.0113,,,1974
ellipse,tfidf,oof,SES,Not economically disadvantaged,smd,-0.0195,,,1974
ellipse,tfidf,oof,SES,Not economically disadvantaged,qwk,0.6247,,,1974
ellipse,tfidf,oof,SES,Not economically disadvantaged,exact,0.4083,,,1974
ellipse,tfidf,oof,SES,Not economically disadvantaged,pearson_r,0.6949,,,1974
ellipse,tfidf,oof,SES,Not economically disadvantaged,rmse,0.4874,,,1974
