kind,verifier,point,value,n,exposure,outcome,group,failures,rate,wilson_lo,wilson_hi,comparison_rate,risk_diff,ratio,p_fisher
rate,sface,fmr1pct,,1001,0.35,cannot_verify,T1_light,44.0,0.044,0.0329,0.0585,,,,
rate,sface,fmr1pct,,999,0.35,cannot_verify,T2_mid,38.0,0.038,0.0278,0.0518,,,,
rate,sface,fmr1pct,,1000,0.35,cannot_verify,T3_dark,44.0,0.044,0.0329,0.0586,,,,
contrast,sface,fmr1pct,,2001,0.35,cannot_verify,T3_dark vs T1_light,,0.044,,,0.044,0.0,1.0,1.0
trend,sface,fmr1pct,,3000,0.35,match,spearman_ita,,,,,,,-0.0095,0.6032199254502706
rate,sface,fmr1pct,,988,0.5,fnmr,T1_light,32.0,0.0324,0.023,0.0454,,,,
rate,sface,fmr1pct,,995,0.5,fnmr,T2_mid,32.0,0.0322,0.0229,0.045,,,,
rate,sface,fmr1pct,,989,0.5,fnmr,T3_dark,33.0,0.0334,0.0239,0.0465,,,,
contrast,sface,fmr1pct,,1977,0.5,fnmr,T3_dark vs T1_light,,0.0334,,,0.0324,0.001,1.03,1.0
rate,sface,fmr1pct,,1001,0.5,cannot_verify,T1_light,45.0,0.045,0.0338,0.0596,,,,
rate,sface,fmr1pct,,999,0.5,cannot_verify,T2_mid,36.0,0.036,0.0261,0.0495,,,,
rate,sface,fmr1pct,,1000,0.5,cannot_verify,T3_dark,44.0,0.044,0.0329,0.0586,,,,
contrast,sface,fmr1pct,,2001,0.5,cannot_verify,T3_dark vs T1_light,,0.044,,,0.045,-0.001,0.98,1.0
trend,sface,fmr1pct,,3000,0.5,match,spearman_ita,,,,,,,-0.0076,0.677616964928167
rate,sface,fmr1pct,,989,1.0,fnmr,T1_light,30.0,0.0303,0.0213,0.043,,,,
rate,sface,fmr1pct,,995,1.0,fnmr,T2_mid,31.0,0.0312,0.022,0.0439,,,,
rate,sface,fmr1pct,,992,1.0,fnmr,T3_dark,32.0,0.0323,0.0229,0.0452,,,,
contrast,sface,fmr1pct,,1981,1.0,fnmr,T3_dark vs T1_light,,0.0323,,,0.0303,0.0019,1.06,0.8974668631768293
rate,sface,fmr1pct,,1001,1.0,cannot_verify,T1_light,42.0,0.042,0.0312,0.0562,,,,
rate,sface,fmr1pct,,999,1.0,cannot_verify,T2_mid,35.0,0.035,0.0253,0.0483,,,,
rate,sface,fmr1pct,,1000,1.0,cannot_verify,T3_dark,40.0,0.04,0.0295,0.054,,,,
contrast,sface,fmr1pct,,2001,1.0,cannot_verify,T3_dark vs T1_light,,0.04,,,0.042,-0.002,0.95,0.9103008752051085
trend,sface,fmr1pct,,3000,1.0,match,spearman_ita,,,,,,,-0.0044,0.808881783193443
threshold,sface,fmr01pct,0.35172,2961,,,,,,,,,,,
rate,sface,fmr01pct,,979,0.15,fnmr,T1_light,46.0,0.047,0.0354,0.0621,,,,
rate,sface,fmr01pct,,994,0.15,fnmr,T2_mid,35.0,0.0352,0.0254,0.0486,,,,
rate,sface,fmr01pct,,988,0.15,fnmr,T3_dark,38.0,0.0385,0.0281,0.0523,,,,
contrast,sface,fmr01pct,,1967,0.15,fnmr,T3_dark vs T1_light,,0.0385,,,0.047,-0.0085,0.82,0.3735266865808743
rate,sface,fmr01pct,,1001,0.15,cannot_verify,T1_light,68.0,0.0679,0.0539,0.0852,,,,
rate,sface,fmr01pct,,999,0.15,cannot_verify,T2_mid,40.0,0.04,0.0295,0.0541,,,,
rate,sface,fmr01pct,,1000,0.15,cannot_verify,T3_dark,50.0,0.05,0.0381,0.0653,,,,
contrast,sface,fmr01pct,,2001,0.15,cannot_verify,T3_dark vs T1_light,,0.05,,,0.0679,-0.0179,0.74,0.10634091765604749
trend,sface,fmr01pct,,3000,0.15,match,spearman_ita,,,,,,,0.0196,0.2832852195039219
rate,sface,fmr01pct,,982,0.25,fnmr,T1_light,44.0,0.0448,0.0335,0.0596,,,,
rate,sface,fmr01pct,,995,0.25,fnmr,T2_mid,35.0,0.0352,0.0254,0.0485,,,,
rate,sface,fmr01pct,,987,0.25,fnmr,T3_dark,39.0,0.0395,0.029,0.0536,,,,
contrast,sface,fmr01pct,,1969,0.25,fnmr,T3_dark vs T1_light,,0.0395,,,0.0448,-0.0053,0.88,0.576680908770582
rate,sface,fmr01pct,,1001,0.25,cannot_verify,T1_light,63.0,0.0629,0.0495,0.0797,,,,
rate,sface,fmr01pct,,999,0.25,cannot_verify,T2_mid,39.0,0.039,0.0287,0.0529,,,,
rate,sface,fmr01pct,,1000,0.25,cannot_verify,T3_dark,52.0,0.052,0.0399,0.0676,,,,
contrast,sface,fmr01pct,,2001,0.25,cannot_verify,T3_dark vs T1_light,,0.052,,,0.0629,-0.0109,0.83,0.33683194071943084
trend,sface,fmr01pct,,3000,0.25,match,spearman_ita,,,,,,,0.0055,0.7627622608131241
rate,sface,fmr01pct,,986,0.35,fnmr,T1_light,46.0,0.0467,0.0352,0.0617,,,,
rate,sface,fmr01pct,,995,0.35,fnmr,T2_mid,38.0,0.0382,0.0279,0.052,,,,
rate,sface,fmr01pct,,988,0.35,fnmr,T3_dark,41.0,0.0415,0.0307,0.0558,,,,
contrast,sface,fmr01pct,,1974,0.35,fnmr,T3_dark vs T1_light,,0.0415,,,0.0467,-0.0052,0.89,0.5856026093656499
rate,sface,fmr01pct,,1001,0.35,cannot_verify,T1_light,61.0,0.0609,0.0477,0.0775,,,,
rate,sface,fmr01pct,,999,0.35,cannot_verify,T2_mid,42.0,0.042,0.0313,0.0563,,,,
rate,sface,fmr01pct,,1000,0.35,cannot_verify,T3_dark,53.0,0.053,0.0407,0.0687,,,,
contrast,sface,fmr01pct,,2001,0.35,cannot_verify,T3_dark vs T1_light,,0.053,,,0.0609,-0.0079,0.87,0.4997594452142259
trend,sface,fmr01pct,,3000,0.35,match,spearman_ita,,,,,,,0.0009,0.962376653072996
rate,sface,fmr01pct,,988,0.5,fnmr,T1_light,47.0,0.0476,0.036,0.0627,,,,
rate,sface,fmr01pct,,995,0.5,fnmr,T2_mid,35.0,0.0352,0.0254,0.0485,,,,
rate,sface,fmr01pct,,989,0.5,fnmr,T3_dark,38.0,0.0384,0.0281,0.0523,,,,
contrast,sface,fmr01pct,,1977,0.5,fnmr,T3_dark vs T1_light,,0.0384,,,0.0476,-0.0091,0.81,0.32106165168292977
rate,sface,fmr01pct,,1001,0.5,cannot_verify,T1_light,60.0,0.0599,0.0468,0.0764,,,,
rate,sface,fmr01pct,,999,0.5,cannot_verify,T2_mid,39.0,0.039,0.0287,0.0529,,,,
rate,sface,fmr01pct,,1000,0.5,cannot_verify,T3_dark,49.0,0.049,0.0373,0.0642,,,,
contrast,sface,fmr01pct,,2001,0.5,cannot_verify,T3_dark vs T1_light,,0.049,,,0.0599,-0.0109,0.82,0.32463022724062496
trend,sface,fmr01pct,,3000,0.5,match,spearman_ita,,,,,,,0.0085,0.6435079878243493
rate,sface,fmr01pct,,989,1.0,fnmr,T1_light,47.0,0.0475,0.0359,0.0626,,,,
rate,sface,fmr01pct,,995,1.0,fnmr,T2_mid,35.0,0.0352,0.0254,0.0485,,,,
rate,sface,fmr01pct,,992,1.0,fnmr,T3_dark,37.0,0.0373,0.0272,0.051,,,,
contrast,sface,fmr01pct,,1981,1.0,fnmr,T3_dark vs T1_light,,0.0373,,,0.0475,-0.0102,0.78,0.2670110336506185
rate,sface,fmr01pct,,1001,1.0,cannot_verify,T1_light,59.0,0.0589,0.046,0.0753,,,,
rate,sface,fmr01pct,,999,1.0,cannot_verify,T2_mid,39.0,0.039,0.0287,0.0529,,,,
rate,sface,fmr01pct,,1000,1.0,cannot_verify,T3_dark,45.0,0.045,0.0338,0.0597,,,,
contrast,sface,fmr01pct,,2001,1.0,cannot_verify,T3_dark vs T1_light,,0.045,,,0.0589,-0.0139,0.76,0.19023684333044832
trend,sface,fmr01pct,,3000,1.0,match,spearman_ita,,,,,,,0.0171,0.3477355012241867
