unitid,urm_share
125091,0.6982780558147426
125170,0.47937160475701074
125231,0.37361543248288737
125310,0.92
125462,0.7672991071428571
125471,0.748108195137659
125499,0.3666949049981847
125532,0.4620573355817875
125727,0.2545027407987471
125763,0.5749690210656754
125897,0.35688405797101447
126076,0.0
126119,0.4574568288854003
126164,0.23076923076923078
126182,0.484111221449851
126207,0.38305024769992924
126289,0.2278530357664945
126359,0.2545931758530184
126401,0.5121951219512195
126562,0.321570236629736
126580,0.2907053394858273
126605,0.28661087866108786
126614,0.18031611770187447
126669,0.2801648961471381
126678,0.207996192289386
126687,0.6890595009596929
126702,0.33785450061652283
126711,0.21977264898380985
126748,0.17122040072859745
126775,0.14078091106290672
126784,0.0
126818,0.18226953171545457
126827,0.4238807314656337
126863,0.5107621497224855
126872,0.6766169154228856
126915,0.15406976744186046
126942,0.4696549428603129
126951,0.3814133591481123
127060,0.15554396941258256
127158,0.3679948860004262
127185,0.44862155388471175
127200,0.23510492460191923
127219,0.3333333333333333
127228,0.23076923076923078
127316,0.474025974025974
127389,0.3147914032869785
127556,0.25961438249088065
127565,0.35697091273821463
127617,0.2747625508819539
127653,0.19895287958115182
127680,0.40512820512820513
127714,0.20806241872561768
127732,0.20182370820668694
127741,0.27289981020877035
127778,0.37363387978142076
127787,0.4225352112676056
127820,0.31100805838528206
127839,0.30111524163568776
127884,0.40435095289464223
127909,0.24386146291031274
127918,0.28624078624078625
127945,0.20860927152317882
127954,0.21052631578947367
128106,0.43113057324840764
128151,0.5556478405315615
128179,0.3261455525606469
128188,0.4861995753715499
128258,0.46856106408706166
128328,0.24970497993863583
128337,0.5058823529411764
128391,0.20456365092073658
128498,0.5336065573770492
128540,0.10526315789473684
128577,0.31722365038560413
128586,0.0
128674,0.6042780748663101
128683,0.4197761194029851
128726,0.35443037974683544
128744,0.5899353961237674
128771,0.2843363388551059
128780,0.33985649054142203
128896,0.2958801498127341
128902,0.15656836461126006
129002,0.5151515151515151
129020,0.18438211550403644
129154,0.46813310772701633
129181,0.3942652329749104
129215,0.2210404177141752
129242,0.11631944444444445
129349,0.3051948051948052
129367,0.646274984857662
129482,0.7566265060240964
129525,0.30893203883495146
129534,0.2074074074074074
129543,0.6488430876920086
129695,0.38333333333333336
129729,0.41542625169147496
129756,0.3044273691913648
129774,0.28360413589364847
129808,0.3053003533568905
129923,0.5836734693877551
129932,0.49127906976744184
129941,0.22548622366288493
129969,0.4166666666666667
130004,0.5537931034482758
130040,0.13157894736842105
130110,0.2524271844660194
130174,0.5051867219917012
130183,0.38750354207990934
130217,0.2187299550994227
130226,0.15833215945907875
130253,0.15530582166543846
130314,0.32662192393736017
130396,0.5239018982956908
130448,0.3106159895150721
130493,0.33592867009920885
130509,0.7792706333973128
130590,0.16246126604692343
130606,0.28855853464295195
130624,0.23225152129817445
130697,0.2295523392797038
130776,0.3221385832850801
130794,0.25255847953216376
130837,0.18867924528301888
130873,0.6756756756756757
130907,0.3971268734028593
130934,0.8146756824442775
