draw,w_achievement,w_grad,w_quality,w_growth,n_identified,mean_poverty_identified,share_identified_top_pov_quartile
118,0.4483640625668936,0.07159867240044185,0.06770470790548995,0.4123325571271746,5078,0.7506563509412734,0.43934619929105945
119,0.5774063096465526,0.15232154504365647,0.11888691986882749,0.15138522544096333,4747,0.7714694331469492,0.4918896144933642
120,0.3915531649042864,0.22957064067431074,0.17686876949372676,0.20200742492767612,4753,0.7631234388942678,0.4761203450452346
121,0.43463186108327234,0.22594651235121288,0.15442997353016732,0.18499165303534748,4765,0.7672087937520324,0.48478488982161594
122,0.4852815393366765,0.22362659928662942,0.12744575190150595,0.16364610947518818,4784,0.7710233029085645,0.49122073578595316
123,0.41989605835977256,0.21513759351578587,0.1728167626077115,0.19214958551673006,4738,0.7645016736062038,0.47889404812157027
124,0.3209096225493221,0.25971745928788936,0.10207821331162983,0.31729470485115874,5062,0.7571067420460089,0.4519952587909917
125,0.2560523379609892,0.33731845693886137,0.2624520141265038,0.14417719097364556,4613,0.7565738014590163,0.46715803164968567
126,0.2164757961944916,0.1786553877971398,0.0914581835100012,0.5134106324983674,5209,0.733146622131632,0.40103666730658477
127,0.4223718747353566,0.2540162393650298,0.12901585887848113,0.19459602702113238,4830,0.769614902410888,0.4857142857142857
128,0.4013413049807751,0.17189517057189907,0.07506907352312574,0.3516944509242,5085,0.7565162103942249,0.4511307767944936
129,0.42305451593542936,0.3047244507402894,0.16903686274529453,0.10318417057898664,4718,0.7703205288912268,0.49385332768122087
130,0.5263336699670522,0.3323675574017686,0.12994299042225493,0.011355782208924137,4770,0.7813719534004884,0.5174004192872117
131,0.38304444606880583,0.2735446727016787,0.17722119857566165,0.16618968265385387,4740,0.766393204158225,0.4839662447257384
132,0.37615819032224135,0.13101135032530717,0.19306373631428553,0.2997667230381659,4776,0.7536718333817432,0.4507956448911223
133,0.6626604066070445,0.1130994511695583,0.10017234501935818,0.1240677972040389,4721,0.7736265578226224,0.4941749629315823
134,0.361675094234841,0.17385361422134588,0.08624379006429149,0.37822750147952156,5088,0.7530771424820952,0.4435927672955975
135,0.49456554812406384,0.09993161232625647,0.1369862246163439,0.26851661493333584,4814,0.7606868560518909,0.46530951391773995
136,0.4831086316367306,0.05099859033009242,0.10490550204492964,0.36098727598824737,4958,0.7530035782941469,0.44594594594594594
137,0.393754245260317,0.2902686978161183,0.12862135822679335,0.18735569869677143,4854,0.7698669277241905,0.4855789039967037
138,0.4505126345558953,0.11308855256259322,0.25158275448295525,0.1848160583985562,4618,0.7557750810684767,0.46297098310957124
139,0.49161822977238584,0.0854626855961678,0.16661109315533784,0.2563079914761085,4761,0.7579971983732843,0.46019743751312747
140,0.4886769738272158,0.3392887413530879,0.09093760706736707,0.08109667775232914,4889,0.7823428163565879,0.5146246676211904
141,0.4828186676692096,0.05192602928580342,0.30442195330017113,0.1608333497448159,4591,0.7520528237488974,0.4558919625353953
142,0.5859740993095394,0.0088688200239696,0.13999865635420508,0.26515842431228587,4768,0.7548440431871274,0.4526006711409396
143,0.44322423123159727,0.19263437025265245,0.14622773472243908,0.21791366379331117,4795,0.7653181101044676,0.47883211678832116
144,0.4965102093622571,0.12701943076504352,0.11063138212021388,0.26583897775248544,4875,0.7638066338379836,0.4705641025641026
145,0.4415245070902472,0.21912041050530587,0.06348207786740277,0.27587300453704416,5066,0.7665541808680117,0.47315436241610737
146,0.4915128910868968,0.27684000391782665,0.1667378123049524,0.06490929269032401,4682,0.7745628192935379,0.5017086715079027
147,0.2853131492004482,0.13816080527873575,0.2877760868519968,0.2887499586688193,4685,0.7469253868549921,0.43991462113127
148,0.4800957458355022,0.13837735686380886,0.17289930128757883,0.20862759601311007,4721,0.7623981059024848,0.472357551366236
149,0.5060927551212072,0.11620468640466865,0.2386350924243439,0.1390674660497802,4611,0.7585793885389237,0.4697462589459987
150,0.20902354130308287,0.26057701710182507,0.1913186610692995,0.33908078052579255,4912,0.7472020071772083,0.43526058631921827
151,0.4366234231287743,0.18862790212547823,0.06715821620045145,0.3075904585452961,5066,0.7618239148879329,0.46308724832214765
152,0.3434596601527826,0.1084670727495683,0.2274184173817082,0.3206548497159407,4751,0.7491823181406864,0.4430646179751631
153,0.3255670628806123,0.196502038995419,0.22975525712853673,0.24817564099543196,4715,0.7551163010151571,0.45811240721102864
154,0.47511497433643507,0.07943754099162466,0.07741512789858931,0.3680323567733509,5023,0.7551677759310502,0.4489348994624726
155,0.45521575757706156,0.1463336621201095,0.07532229184907338,0.32312828845375574,5033,0.7602883759290275,0.459964236042122
156,0.5416685016372692,0.06216400053155335,0.20352327050709257,0.19264422732408484,4659,0.7583785036695334,0.46576518566215924
157,0.40349942524358795,0.18750378958070588,0.07466696570442656,0.33432981947127965,5084,0.758246402056894,0.4541699449252557
158,0.2842160352360371,0.08751111673977413,0.13309024480607015,0.49518260321811847,5068,0.7392850562569878,0.414759273875296
159,0.3925140783246866,0.15542254760650925,0.09037310773323563,0.3616902663355685,5050,0.7547968676210135,0.44811881188118813
160,0.3204882728322186,0.11239749669881206,0.27430528178923896,0.2928089486797304,4699,0.7477509446674262,0.4409448818897638
161,0.5181265235326232,0.1981169018067526,0.19560165433216267,0.0881549203284614,4632,0.7679559308158164,0.48812607944732295
162,0.38710597402094116,0.1563263896339608,0.1764740506638609,0.2800935856812371,4790,0.757272566057128,0.4580375782881002
163,0.42169687653679294,0.048322346619245816,0.17561627837710098,0.3543644984668603,4842,0.7484121278943178,0.4382486575795126
164,0.42441059183207536,0.00605922753535359,0.20012379798035634,0.3694063826522147,4819,0.7435714140453784,0.42892716331189046
165,0.5563844492106454,0.023641958481125328,0.19511117122720062,0.22486242108102852,4688,0.7537700551651644,0.45307167235494883
166,0.40116518913813065,0.20401133986452574,0.20090992266287533,0.1939135483344683,4697,0.760914211823276,0.47221630828188205
167,0.3392543446900139,0.15692039790857484,0.2588643686406123,0.2449608887607989,4670,0.7526028335947993,0.45417558886509635
168,0.8685130354621479,0.016000451133812495,0.0946621790112626,0.02082433439277717,4633,0.7664430650162385,0.4871573494496007
169,0.4215172873455272,0.06966703054294449,0.14938547748948128,0.35943020462204706,4884,0.7517487332938056,0.4436936936936937
170,0.39064066122380725,0.10095426878664632,0.2290381579924038,0.27936691199714275,4725,0.7525311744172771,0.45037037037037037
171,0.2829019587597894,0.03334220170596603,0.21508568634965622,0.4686701531845882,4896,0.7337145290159631,0.40727124183006536
172,0.5991677070103084,0.19234216578512056,0.08693309145412792,0.12155703575044313,4803,0.7778762176219763,0.5057255881740579
173,0.38267137673638624,0.29913645371904474,0.18063511022987616,0.13755705931469295,4720,0.767661706993485,0.4891949152542373
174,0.4502799262189733,0.1366000042417779,0.22098565961757916,0.19213440992166977,4664,0.7586564886503452,0.4676243567753002
175,0.5733801048220745,0.005455927886573481,0.20758313127510888,0.21358083601624314,4670,0.7525964741086092,0.45289079229122053
176,0.49645298063292864,0.08645485369874119,0.2930763517403482,0.12401581392798189,4573,0.7550316095808234,0.46293461622567245
177,0.39002839609090306,0.1920323938295136,0.203621809903777,0.21431740017580628,4707,0.7593892404102509,0.4678138942001275
178,0.404563152582572,0.1394516924590756,0.18348813914307244,0.27249701581527985,4769,0.7564645095763464,0.45690920528412665
179,0.4843020467247569,0.28279672469509987,0.18044156524421553,0.05245966333592767,4663,0.7736264925358258,0.5022517692472657
180,0.32766641202385405,0.28294909674433866,0.1367505621510417,0.2526339290807656,4906,0.7617836629962526,0.4657562168772931
181,0.3272626199008875,0.32389786585140884,0.26821437920623864,0.080625135041465,4569,0.7598037696077498,0.4749398117750055
182,0.41272353675589635,0.14029046080504892,0.21106611545200699,0.2359198869870478,4708,0.7572730874775424,0.46197960917587083
