state,ncessch,school_code,school_name,score,running,cutoff,treat,titlei,grad_rate,econ_disadv_share,achievement,enrollment,is_high,next_score,award,got_funds,sharpness
WA,530000102795,4550,Thunder Mountain Middle School,6.45,4.175000000000001,2.275,0,False,,0.2597701149425287,62.5,484.0,0.0,4.9,0.0,0,0.9989811512990321
WA,530834002824,4551,Utsalady Elementary,8.18,5.904999999999999,2.275,0,False,,0.2352941176470588,64.5,339.0,0.0,6.78,0.0,0,0.9989811512990321
WA,530834002825,4553,Elger Bay Elementary,4.3,2.025,2.275,0,True,,0.4171779141104294,57.0,379.0,0.0,4.15,0.0,0,0.9989811512990321
WA,530285002832,4554,Horizon Middle School,5.25,2.975,2.275,0,True,,0.5373134328358209,49.0,494.0,0.0,4.3,35243.0,1,0.9989811512990321
WA,530657002785,4555,Rowena Chess Elementary,1.75,-0.5249999999999999,2.275,1,True,,0.9648562300319488,15.0,463.0,0.0,1.2,35095.0,1,0.9989811512990321
WA,530288002875,4557,Hedden Elementary School,6.85,4.574999999999999,2.275,0,True,,0.4206730769230769,57.5,548.0,0.0,5.65,0.0,0,0.9989811512990321
WA,530630002815,4558,Orcas Island Middle School,5.28,3.0050000000000003,2.275,0,False,,0.5742574257425742,49.5,107.0,0.0,5.85,0.0,0,0.9989811512990321
WA,530351002876,4559,Highland High School,5.7,3.4250000000000003,2.275,0,True,,0.8227848101265823,39.5,365.0,1.0,5.8,0.0,0,0.9989811512990321
WA,530270002877,4560,Illahee Elementary School,8.15,5.875,2.275,0,False,,0.2948328267477204,64.0,566.0,0.0,7.9,0.0,0,0.9989811512990321
WA,530270002878,4561,Shahala Middle School,5.7,3.4250000000000003,2.275,0,False,,0.3282588011417697,61.5,1016.0,0.0,5.85,0.0,0,0.9989811512990321
WA,530081002880,4563,Prune Hill Elem,7.7,5.425000000000001,2.275,0,False,,0.1244979919678714,82.0,476.0,0.0,8.15,0.0,0,0.9989811512990321
WA,530657002936,4564,Ellen Ochoa Middle School,2.55,0.2749999999999999,2.275,0,True,,0.9549180327868853,20.5,765.0,0.0,2.25,0.0,0,0.9989811512990321
