state,state_abbr,board_regime,board_exists,csso_regime,n_voting,term_years,constitutional,frac_elected_public,student_voting,teacher_voting,student_present,teacher_present,student_voice,teacher_voice,auth_standards_board,auth_licensure_board,rep_index,rep_index_equal,rep_index_altWA,auth_index,gap,rating_category,algorithmic_grade,summative_any,naep_g4_math_equiv,enrollment_2021,pct_white_2021,pct_students_of_color,pct_frl_2122,sel_board_raw,sel_csso_raw,n_voting_raw,term_raw,established_raw,auth_licensure,auth_standards
Massachusetts,MA,governor,1,board,11.0,5.0,0.0,0.0,1,0,1,0,1.0,0.0,1.0,1.0,0.25,0.3333333333333333,0.25,0.6666666666666666,0.41666666666666663,Descriptive,0,1,250.0,921180,55.8,44.2,43.8,"Governor appoints 6; 4 voting ex officio members, 1 student","SBE appoints, with approval from secretary","11, including 1 voting student",5,Statute,SBE,SBE
Michigan,MI,elected,1,board,8.0,8.0,1.0,1.0,0,0,0,1,0.0,0.5,1.0,0.0,0.625,0.5,0.625,0.6666666666666666,0.04166666666666663,Index,1,1,243.0,1440090,64.3,35.7,51.1,Partisan ballot,SBE appoints,"8, plus 1 nonvoting teacher",8,Constitution,CSSO,SBE
Minnesota,MN,none,0,governor,,,,0.0,0,0,0,0,0.0,0.0,,,,,,,,Descriptive,0,1,240.0,870506,63.1,36.9,31.5,None,Governor appoints,NA,NA,None,PSC,CSSO
Mississippi,MS,governor,1,board,9.0,9.0,1.0,0.0,0,1,1,1,0.5,1.0,1.0,1.0,0.375,0.5,0.375,1.0,0.625,A-F,1,1,242.0,442000,43.1,56.9,99.6,Governor appoints 5; lt. gov. appoints 2; speaker of the house appoints 2,SBE appoints,"9, including 1 teacher, plus 2 nonvoting students",9,Constitution,SBE,SBE
Missouri,MO,governor,1,board,8.0,8.0,1.0,0.0,0,0,0,1,0.0,0.5,1.0,1.0,0.125,0.16666666666666666,0.125,1.0,0.875,Index,1,1,244.0,888823,69.3,30.700000000000003,43.9,Governor appoints; Senate confirms,SBE appoints,"8, plus 1 nonvoting teacher",8,Constitution,SBE,SBE
Montana,MT,governor,1,elected,7.0,7.0,1.0,0.0,0,0,1,0,0.5,0.0,1.0,1.0,0.125,0.16666666666666666,0.125,1.0,0.875,FederalTiers,0,0,247.0,150195,77.7,22.299999999999997,31.0,Governor appoints; Senate confirms,Partisan ballot,7 plus 4 nonvoting members including 1 student,7,Constitution,SBE,SBE
Nebraska,NE,elected,1,board,8.0,4.0,1.0,1.0,0,0,0,0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.5,Descriptive,0,1,245.0,327564,64.1,35.900000000000006,41.3,Nonpartisan ballot,SBE appoints,8,4,Constitution,SBE,SBE
Nevada,NV,hybrid,1,governor,7.0,4.0,0.0,0.5714,0,1,1,1,0.5,1.0,1.0,0.5,0.6607000000000001,0.6904666666666667,0.6607000000000001,0.5,-0.16070000000000007,Star,1,1,242.0,486648,29.3,70.7,72.9,"4 elected; governor appoints 3, 2 of whom the legislature nominates; governor appoints 4 nonvoting members",Governor appoints from 3 nominees SBE provides,"7, including 1 teacher, plus 4 nonvoting members, including 1 student",4,Statute,PSC,SBE
New Hampshire,NH,governor,1,governor,7.0,5.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,FederalTiers,0,0,,170005,83.4,16.599999999999994,20.8,Governor and executive council appoints,Governor appoints after consulting SBE; council confirms,7,5,Statute,SBE,SBE
New Jersey,NJ,governor,1,governor,13.0,6.0,0.0,0.0,0,0,1,0,0.5,0.0,1.0,1.0,0.125,0.16666666666666666,0.125,0.6666666666666666,0.5416666666666666,FederalTiers,0,0,247.0,1372381,39.6,60.4,34.2,"Governor appoints, with advice and consent of Senate","Governor appoints, with advice and consent of Senate",13 plus 1 nonvoting student,6,Statute,SBE,SBE
New Mexico,NM,none,0,governor,,,,0.0,0,0,0,0,0.0,0.0,,,,,,,,FederalTiers,0,0,250.0,316785,21.2,78.8,74.8,None,Governor appoints,NA,NA,None,SEA,SEA
New York,NY,legislative,1,board,17.0,5.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,FederalTiers,0,0,239.0,2548490,41.0,59.0,54.8,Legislature appoints,SBE appoints,17,5,Constitution and Statute,SBE,SBE
North Carolina,NC,governor,1,elected,13.0,8.0,1.0,0.0,0,0,1,1,0.5,0.5,1.0,1.0,0.25,0.3333333333333333,0.25,1.0,0.75,A-F,1,1,251.0,1525223,44.9,55.1,50.8,Governor appoints and legislature confirms,Partisan ballot,13 plus 2 nonvoting students and the teacher of the year,8,Constitution,SBE,SBE
